"",BD_ID1,BD_ID2,BD_ID3,BD_ID4,BD_ID5,BD_ID6,BD_ID7,BD_ID8,BD_ID9,BD_ID10,BD_ID11,CTR_ID1,CTR_ID2,CTR_ID3,CTR_ID4,CTR_ID5,CTR_ID6,CTR_ID7,CTR_ID8,CTR_ID9,CTR_ID10,CTR_ID11,CTR_ID12,CTR_ID13,CTR_ID14,CTR_ID15,MDD_ID1,MDD_ID2,MDD_ID3,MDD_ID4,MDD_ID5,MDD_ID6,MDD_ID7,MDD_ID8,MDD_ID9,MDD_ID10,MDD_ID11,SCZ_ID1,SCZ_ID2,SCZ_ID3,SCZ_ID4,SCZ_ID5,SCZ_ID6,SCZ_ID7,SCZ_ID8,SCZ_ID9,SCZ_ID10,SCZ_ID11,SCZ_ID12,SCZ_ID13
MGA,5.699677,5.803716,5.72477,5.58046,5.820912,5.76961,5.856363,5.834971,6.110337,5.421333,5.918288,5.517312,5.765485,5.990609,5.78006,5.551774,5.869703,5.577292,5.852181,5.738602,5.720877,5.780543,5.77781,5.789926,5.985835,5.844943,5.863749,6.080653,5.878223,6.071609,5.831442,5.956171,5.888481,6.146832,6.007583,5.907446,5.893376,6.017404,5.720178,5.875174,5.541748,6.107428,5.544066,5.828085,5.828566,5.748885,5.796102,5.988137,5.667073,5.89613
NOTCH3,7.191672,7.104981,7.430252,7.15209,7.809338,7.369419,7.084836,7.119359,7.641528,6.958961,7.620268,7.166145,7.681855,7.243738,7.293611,7.207284,7.60387,7.545001,7.496801,8.058062,7.846138,7.632316,7.388597,7.301689,7.691846,7.696979,7.592977,8.095638,7.993416,8.507445,7.469325,7.756148,7.570667,7.840749,7.469132,7.412499,7.254325,7.083804,8.380218,7.265038,7.473489,7.434633,7.625021,7.116713,7.269169,8.073235,7.108778,7.653669,7.000382,7.569758
PTGER3,4.857528,4.740819,4.740476,4.743019,5.42087,4.631444,5.10385,4.685138,4.995664,4.659731,4.815871,5.313783,5.047275,5.413017,4.959072,5.270155,5.713599,5.889362,5.091586,4.923878,5.363167,5.29737,4.987352,5.23859,5.431169,5.155288,4.824495,4.506121,5.022959,4.993262,4.822812,4.640549,4.780159,4.920935,4.753085,5.438396,5.182953,5.417905,5.773432,5.146071,4.748118,5.151433,5.029246,5.600833,5.162544,5.289666,5.269229,4.797116,4.753989,5.077292
FOS,6.853766,6.754205,6.694674,6.668039,6.095806,6.482427,6.695319,5.840359,6.300977,8.85792,5.755579,5.868692,6.83266,5.232389,5.699476,6.372657,6.408296,4.995364,5.683086,5.931252,6.298887,6.440643,6.169674,5.55559,5.611518,5.702746,5.817799,6.395184,4.887249,5.458812,8.488616,6.009775,7.154228,4.857686,4.489062,8.571537,8.463068,7.019809,6.284905,5.560854,5.538784,4.552354,6.055158,5.887131,5.506385,5.029818,6.538567,4.610974,4.989466,5.519449
PLEK,3.275552,2.834428,3.185589,3.142882,3.379148,3.40045,3.094256,3.153348,3.306595,3.296681,3.111968,3.265975,3.486266,3.350623,3.336446,3.460355,3.524144,3.343591,3.318282,3.148651,3.292733,3.272119,3.334258,3.331506,3.321352,3.347322,3.565144,3.348165,3.464376,3.757252,3.442784,3.558855,3.316595,3.307075,3.423533,3.45969,3.604665,3.354575,3.489667,3.343507,3.026433,3.336907,3.287872,3.436195,3.184084,3.054434,3.434795,3.136483,3.579543,3.238017
YBX1,7.826814,8.431907,8.761429,8.344574,8.690884,8.538873,8.251322,8.282765,9.02461,9.201785,8.923233,8.226508,8.376197,8.403234,8.115346,8.026521,7.936308,8.038772,8.647493,8.29814,8.171706,8.253525,8.277067,8.329834,8.416905,8.713434,8.469974,8.255331,8.480914,8.57084,8.799151,8.264887,8.5295,8.655329,8.532081,8.376937,8.172967,8.301685,8.223268,8.39714,8.204736,8.427563,8.451809,7.963169,8.224167,8.257342,7.894419,8.122232,8.168592,8.301497
PAPOLA,4.697847,5.029622,4.54489,4.316979,4.600119,4.626297,4.634711,4.437377,4.224199,4.081115,4.850437,4.917776,4.684462,4.338809,4.298234,4.269289,4.551146,4.513464,4.272607,4.424721,4.458961,4.400556,4.351095,4.195075,4.19904,4.462988,4.73332,4.355732,4.551322,4.162828,4.127009,4.664458,4.598254,4.50179,4.577133,4.7735,4.611085,4.207343,4.111975,4.275919,4.351585,4.442013,4.580688,4.329984,4.410483,4.010012,4.264384,4.30776,4.204422,4.570906
ZNF292,3.046754,3.622064,3.318333,2.949515,3.381975,3.449999,3.140029,3.124202,3.241404,3.161272,3.322277,3.208828,3.367294,3.379195,3.429579,3.154541,3.350046,3.367116,3.512365,3.254666,3.693895,3.253441,3.347667,3.378734,3.360619,3.320031,3.176795,3.142817,3.579949,3.614516,3.839317,3.438756,3.640125,3.67559,3.398844,3.568984,3.501328,3.383815,3.687131,3.402521,3.314659,3.341135,3.308844,3.2782,3.44591,3.516666,3.260133,3.435737,3.315182,3.464888
HIVEP1,4.264951,4.725102,3.88898,3.943995,4.352194,4.416952,4.451146,4.257318,3.745043,3.896755,4.196215,4.40853,4.542822,4.147807,4.447858,4.443833,4.405111,4.383664,4.149403,4.043214,4.449948,4.323738,4.657264,4.584467,4.423066,4.782375,4.690351,4.51208,4.651849,3.871858,4.520361,4.657169,4.848388,4.760597,4.263634,4.594283,4.777121,4.549532,4.322312,4.415008,4.23073,3.906112,5.04685,4.527534,4.5936,4.3604,4.393344,4.301523,4.526596,4.605956
HMGN3,5.748565,5.960597,5.751926,5.62383,5.62919,5.769528,5.566613,5.754801,5.833706,5.765762,5.994156,8.707325,8.556743,8.457707,8.614209,8.37511,8.506916,8.381083,8.669231,8.645353,8.941771,8.721831,8.744915,8.603457,8.750135,8.84497,8.921264,8.380103,8.97456,8.531739,9.359558,8.641013,9.031066,9.278079,8.624529,8.831204,8.68146,5.606082,5.70015,5.724202,5.691545,5.098674,5.753713,5.452814,5.61598,5.866817,5.261452,5.634153,5.590675,5.605007
